Sequence Id	Length	GC
k105_142801	406	32.27
k105_117318	802	54.36
k105_117319	386	47.67
k105_129312	1899	52.98
k105_8844	2405	30.85
k105_117310	1097	50.50
k105_117311	1025	30.05
k105_117312	530	58.87
k105_116941	635	67.87
k105_117314	468	41.67
k105_117315	634	66.56
k105_117316	262	64.12
k105_117317	943	66.49
k105_82267	653	39.66
k105_41024	557	34.65
k105_173141	302	40.07
k105_81803	477	36.90
k105_81238	304	70.07
k105_44309	659	27.92
k105_53135	442	37.10
k105_44301	706	32.86
k105_44300	661	50.68
k105_44303	984	33.23
k105_44302	645	65.89
k105_44305	474	51.90
k105_44304	324	29.63
k105_44307	363	53.72
k105_44306	549	63.02
k105_53635	650	60.62
k105_53396	819	30.77
k105_53637	341	72.43
k105_53636	1413	58.17
k105_46798	320	52.19
k105_46799	447	24.61
k105_53633	321	76.32
k105_53632	427	37.70
k105_46794	421	37.29
k105_46795	809	36.71
k105_46796	1518	39.66
k105_46797	348	58.62
k105_46790	391	53.20
k105_46791	365	58.90
k105_46792	803	57.78
k105_46793	369	43.09
k105_53395	217	41.47
k105_56579	1126	60.04
k105_56578	502	35.46
k105_126948	458	28.82
k105_56575	906	67.00
k105_56577	542	64.21
k105_56576	615	34.15
k105_56571	305	65.90
k105_56570	345	62.90
k105_56573	511	32.29
k105_56572	904	57.08
k105_9126	318	49.37
k105_95440	303	34.65
k105_166484	410	37.32
k105_95442	347	57.35
k105_95443	532	43.98
k105_95444	1152	51.82
k105_95445	544	53.49
k105_95446	333	49.25
k105_166485	945	41.48
k105_95449	353	55.24
k105_151838	1834	29.12
k105_139839	424	46.70
k105_166486	977	38.59
k105_166487	1835	36.68
k105_151115	402	33.83
k105_22087	654	33.94
k105_129316	922	47.94
k105_166481	498	45.38
k105_78470	447	29.98
k105_78471	449	25.61
k105_78472	443	34.09
k105_78474	320	53.44
k105_78476	314	35.67
k105_78477	424	46.93
k105_78478	965	54.82
k105_78479	454	48.90
k105_82263	607	73.81
k105_166483	548	44.71
k105_21189	361	31.86
k105_148967	343	46.94
k105_20859	781	55.57
k105_20858	623	58.11
k105_119169	541	32.16
k105_148966	756	46.56
k105_20853	1023	38.91
k105_20852	558	30.29
k105_20851	567	32.10
k105_20850	829	30.64
k105_20857	347	57.64
k105_20856	1261	50.04
k105_20855	605	25.12
k105_20854	664	65.36
k105_173619	453	53.42
k105_43048	532	43.23
k105_85930	1286	56.14
k105_38952	355	58.87
k105_48856	442	53.85
k105_49268	594	28.45
k105_148962	414	40.58
k105_103391	508	36.61
k105_103390	480	38.54
k105_54368	1883	52.04
k105_103395	491	46.23
k105_103394	357	60.50
k105_103397	784	37.50
k105_103396	695	77.12
k105_54362	608	57.40
k105_103398	1399	57.11
k105_54360	361	54.85
k105_54361	1417	36.34
k105_54366	587	44.97
k105_54364	307	36.48
k105_54365	347	54.76
k105_154711	563	32.33
k105_154712	819	30.65
k105_154715	358	49.72
k105_154714	814	64.62
k105_154716	525	42.86
k105_154719	495	32.73
k105_154718	394	37.56
k105_85936	563	64.48
k105_110559	475	34.95
k105_109946	322	47.20
k105_109947	312	30.13
k105_109944	647	51.78
k105_109945	454	62.78
k105_109942	492	58.94
k105_109943	325	49.23
k105_109940	1182	59.73
k105_109941	370	28.92
k105_110728	425	34.35
k105_57628	2032	58.12
k105_57629	267	32.96
k105_109948	615	42.93
k105_109949	356	39.04
k105_113949	426	53.52
k105_113948	742	40.57
k105_38950	313	38.02
k105_113941	395	70.13
k105_113940	793	49.68
k105_113943	822	58.64
k105_113942	1774	57.61
k105_113945	1602	63.98
k105_113944	363	39.39
k105_113947	525	60.38
k105_113946	395	32.41
k105_59282	337	61.13
k105_59283	347	57.06
k105_59280	309	68.61
k105_59286	471	41.83
k105_59287	2331	56.67
k105_59285	332	62.95
k105_96939	876	40.98
k105_96938	493	59.43
k105_59288	624	43.59
k105_59289	1149	38.56
k105_135009	313	22.68
k105_135004	577	64.12
k105_135005	543	55.62
k105_135006	442	56.79
k105_135007	362	50.55
k105_135000	732	50.00
k105_135001	493	42.19
k105_135002	495	35.35
k105_110556	1116	28.94
k105_68488	635	62.83
k105_79700	316	44.94
k105_79703	358	39.66
k105_79702	386	59.07
k105_85923	344	26.74
k105_79704	447	55.48
k105_79707	429	34.03
k105_79706	379	35.62
k105_68480	686	56.71
k105_68482	486	66.46
k105_68484	389	52.70
k105_68485	636	57.86
k105_68486	376	62.23
k105_68487	509	54.03
k105_170454	2227	28.96
k105_170456	463	74.95
k105_103979	360	63.61
k105_103978	427	34.89
k105_170452	655	34.96
k105_44890	867	34.37
k105_103975	583	56.43
k105_103974	669	63.38
k105_103977	341	34.02
k105_103976	432	45.37
k105_103971	409	50.61
k105_44893	1503	35.00
k105_103973	310	41.29
k105_103972	770	32.47
k105_108013	1609	27.78
k105_108012	557	35.73
k105_108011	555	51.53
k105_44892	682	53.23
k105_108017	466	32.62
k105_108016	656	49.09
k105_108015	672	30.36
k105_168920	1071	29.41
k105_44895	1009	46.28
k105_108019	946	51.27
k105_108018	773	42.56
k105_8979	651	43.93
k105_44894	735	46.26
k105_75798	511	61.84
k105_44897	562	55.69
k105_27119	406	23.15
k105_27118	440	52.95
k105_27117	504	33.33
k105_27116	636	43.55
k105_27115	560	32.86
k105_44896	319	48.90
k105_27113	554	49.46
k105_27112	637	39.72
k105_27111	2047	37.27
k105_27110	1942	34.65
k105_101537	292	30.82
k105_101536	407	35.63
k105_101535	772	47.41
k105_101534	504	41.27
k105_101533	406	32.76
k105_101532	546	35.35
k105_34458	359	42.90
k105_34459	482	59.54
k105_34456	373	41.02
k105_34457	379	48.55
k105_34454	431	35.73
k105_34455	373	35.39
k105_34453	1200	29.67
k105_34450	504	53.37
k105_34451	853	52.05
k105_26860	587	39.69
k105_26861	343	34.69
k105_26863	1108	30.23
k105_26864	2282	34.05
k105_26865	351	46.44
k105_26866	901	35.96
k105_26868	340	53.24
k105_26869	3477	41.07
k105_21575	382	40.31
k105_53682	617	45.87
k105_173285	1178	28.61
k105_137699	857	49.82
k105_137698	1784	41.09
k105_17945	411	53.77
k105_137693	405	40.99
k105_137692	1379	48.95
k105_137691	797	61.23
k105_17944	364	56.87
k105_137697	755	62.12
k105_137696	302	52.32
k105_137695	454	57.27
k105_137694	845	42.72
k105_44118	640	61.72
k105_44119	731	52.94
k105_134353	527	38.71
k105_134352	327	40.37
k105_134351	1214	36.00
k105_134350	362	35.36
k105_134357	365	66.58
k105_134355	459	33.77
k105_134359	819	46.15
k105_134358	887	65.05
k105_1150	417	29.02
k105_1151	321	58.26
k105_1152	544	55.70
k105_1153	626	41.21
k105_1154	644	58.23
k105_1155	391	30.95
k105_1156	1131	36.25
k105_1157	380	35.26
k105_1158	503	42.15
k105_1159	2450	34.53
k105_10265	361	52.08
k105_144413	979	55.67
k105_10263	305	44.59
k105_10262	339	34.81
k105_10261	322	48.14
k105_10260	398	31.16
k105_74938	374	55.61
k105_152611	447	53.69
k105_131202	356	41.01
k105_131203	361	54.29
k105_131200	430	35.12
k105_131201	585	35.73
k105_131206	431	65.66
k105_131207	373	40.75
k105_163759	387	54.01
k105_163758	910	58.02
k105_163757	759	43.35
k105_163756	570	57.02
k105_131208	312	48.08
k105_163754	427	42.86
k105_163753	847	51.83
k105_163752	594	43.77
k105_163751	872	37.39
k105_163750	1229	36.37
k105_139057	473	51.80
k105_139056	322	40.99
k105_139055	307	55.37
k105_105457	744	37.10
k105_26248	512	58.40
k105_26249	323	52.63
k105_41021	469	70.58
k105_139050	628	35.35
k105_26244	1351	62.99
k105_26245	533	50.28
k105_26247	479	58.87
k105_26240	2337	51.05
k105_26241	570	39.82
k105_115733	409	43.03
k105_26243	605	33.72
k105_105453	641	68.95
k105_22426	435	58.85
k105_51894	510	59.80
k105_117380	840	54.29
k105_170501	378	46.56
k105_51892	1024	59.08
k105_5701	420	65.00
k105_5700	309	68.93
k105_5703	408	59.07
k105_5702	455	63.52
k105_5705	391	69.57
k105_5704	440	57.95
k105_5707	816	32.72
k105_5706	308	28.57
k105_5709	313	29.71
k105_5708	1596	56.83
k105_60811	274	40.15
k105_60810	249	40.96
k105_60817	716	49.72
k105_60816	341	52.79
k105_60815	478	43.93
k105_73707	1261	36.08
k105_73706	472	56.78
k105_73705	398	54.77
k105_73704	548	35.77
k105_73702	1027	39.73
k105_73701	660	37.58
k105_20070	470	28.94
k105_161912	311	42.77
k105_73709	584	75.86
k105_73708	2041	48.06
k105_81356	556	42.81
k105_4255	411	63.75
k105_4256	1453	44.60
k105_4257	1979	47.40
k105_4250	472	32.42
k105_4251	359	37.05
k105_23748	667	54.12
k105_23749	214	35.98
k105_23746	521	53.36
k105_172686	314	29.62
k105_172685	1338	42.08
k105_23742	367	41.96
k105_23743	350	34.86
k105_23740	396	67.17
k105_23741	890	34.49
k105_74821	315	40.63
k105_115736	346	42.49
k105_29530	500	33.80
k105_96610	372	62.90
k105_117014	699	44.35
k105_99988	403	34.00
k105_25740	695	44.75
k105_25741	936	47.65
k105_25742	691	54.12
k105_25743	947	63.67
k105_25744	351	46.15
k105_25745	469	47.55
k105_25746	510	47.25
k105_25747	383	56.92
k105_25748	507	46.94
k105_25749	211	57.35
k105_8487	600	34.33
k105_8486	411	44.77
k105_8481	399	57.89
k105_110047	1100	47.45
k105_8483	722	50.97
k105_8482	318	37.42
k105_121236	313	51.44
k105_121237	922	37.53
k105_121234	1208	60.26
k105_121235	702	39.46
k105_162171	349	57.59
k105_121230	785	28.66
k105_121231	428	33.41
k105_110041	206	29.61
k105_49838	791	38.69
k105_121238	319	39.81
k105_121239	379	34.83
k105_38611	718	68.94
k105_38612	454	28.19
k105_38613	308	58.77
k105_38614	447	54.36
k105_110043	486	50.62
k105_38616	611	46.97
k105_38617	327	58.10
k105_38618	326	58.28
k105_38619	1647	70.31
k105_110042	504	50.00
k105_39561	220	41.82
k105_39560	522	37.74
k105_39563	1080	42.69
k105_39562	956	54.08
k105_39565	2068	61.17
k105_14939	657	34.40
k105_39567	433	69.28
k105_39566	314	31.85
k105_39569	510	33.92
k105_39568	418	55.02
k105_54180	452	29.20
k105_14938	537	36.31
k105_31774	981	28.24
k105_145818	719	42.84
k105_31777	417	64.99
k105_31770	412	54.85
k105_31771	593	38.11
k105_31772	316	39.87
k105_145819	1387	62.94
k105_104885	322	58.39
k105_31778	413	45.76
k105_31779	517	58.41
k105_96613	2597	51.48
k105_78869	2218	43.51
k105_78868	595	46.22
k105_108839	302	45.03
k105_108838	424	29.48
k105_108835	996	31.43
k105_78862	1677	63.57
k105_108837	2839	35.44
k105_78860	342	43.27
k105_108831	442	53.62
k105_108830	485	60.82
k105_108833	314	61.78
k105_108832	361	35.73
k105_3707	301	28.24
k105_3706	476	40.55
k105_3705	864	31.25
k105_3704	529	37.43
k105_3703	302	29.80
k105_3702	457	33.48
k105_3701	419	52.03
k105_3700	1018	34.77
k105_118132	519	36.42
k105_65396	1078	38.87
k105_3709	883	43.15
k105_3708	658	30.40
k105_162189	321	30.84
k105_8420	518	43.63
k105_170869	363	31.68
k105_170868	662	30.36
k105_74824	1215	26.58
k105_170865	558	37.10
k105_170864	646	35.91
k105_170867	325	46.77
k105_170866	748	35.43
k105_170861	444	39.64
k105_170860	352	38.64
k105_170863	475	46.11
k105_170862	321	52.02
k105_116188	422	54.03
k105_65395	542	56.83
k105_24831	610	44.43
k105_24830	373	49.60
k105_24833	456	65.35
k105_24832	1852	33.75
k105_24835	651	56.84
k105_24834	691	36.76
k105_24837	686	36.15
k105_24836	361	50.69
k105_24839	737	54.27
k105_24838	403	38.46
k105_7936	1120	39.91
k105_7937	809	33.87
k105_7930	531	31.45
k105_115707	305	58.69
k105_7932	525	48.38
k105_7933	526	50.38
k105_122765	1932	31.94
k105_122764	790	60.13
k105_122767	712	65.31
k105_122766	978	44.38
k105_122760	322	57.76
k105_122763	583	43.40
k105_65394	453	50.33
k105_115701	359	35.10
k105_122769	613	31.81
k105_122768	1825	28.88
k105_60829	731	56.36
k105_115700	1387	39.22
k105_123494	406	62.56
k105_123495	968	66.53
k105_123496	366	44.26
k105_123497	2189	38.92
k105_123490	1325	30.42
k105_123491	464	53.23
k105_123492	352	29.83
k105_123493	302	48.01
k105_59596	589	36.33
k105_115702	492	57.32
k105_123498	414	38.16
k105_123499	343	65.01
k105_549	1099	45.31
k105_548	1475	37.15
k105_91248	890	61.57
k105_91249	470	52.77
k105_93858	821	47.14
k105_541	691	53.55
k105_540	819	50.92
k105_543	1699	33.43
k105_542	624	32.05
k105_545	427	43.79
k105_547	672	70.09
k105_546	360	48.06
k105_125269	876	37.21
k105_125268	596	38.76
k105_171728	1206	29.44
k105_129556	608	38.98
k105_125261	338	35.50
k105_125260	371	36.93
k105_125263	444	37.61
k105_125262	581	43.37
k105_125265	2344	48.55
k105_125267	517	66.54
k105_125266	537	40.22
k105_50791	444	48.42
k105_160479	608	51.15
k105_160478	799	46.93
k105_160477	305	57.70
k105_160476	875	58.40
k105_50790	449	67.26
k105_160473	517	46.42
k105_160472	510	30.78
k105_160471	615	33.98
k105_160470	484	40.70
k105_106226	541	61.37
k105_43539	992	34.58
k105_43538	710	47.89
k105_106227	542	52.95
k105_43533	644	35.40
k105_43532	812	57.64
k105_43531	1484	58.49
k105_43530	433	46.88
k105_43537	656	36.13
k105_43536	314	45.22
k105_43535	993	29.51
k105_43534	317	53.63
k105_126516	1858	58.56
k105_126517	2230	62.60
k105_126515	319	50.78
k105_126512	435	62.07
k105_126513	765	57.25
k105_126511	2458	60.62
k105_106222	798	65.79
k105_86326	317	30.91
k105_49830	330	56.36
k105_126518	926	42.33
k105_126519	1067	27.84
k105_162831	1331	32.61
k105_162830	330	56.06
k105_162833	964	38.07
k105_162835	915	61.31
k105_54489	634	43.06
k105_162241	636	51.42
k105_162836	1342	34.43
k105_162838	572	35.66
k105_117267	491	31.36
k105_54488	444	25.00
k105_118923	416	50.00
k105_72890	608	49.67
k105_72891	588	55.27
k105_72892	1198	42.74
k105_72893	425	38.59
k105_72894	369	34.69
k105_72895	311	43.41
k105_72896	853	45.60
k105_54486	498	35.74
k105_72898	461	55.53
k105_72899	610	46.56
k105_49831	1071	57.52
k105_105021	2134	48.64
k105_105020	532	38.35
k105_105023	1154	55.55
k105_105022	671	36.66
k105_105025	504	66.07
k105_105024	971	70.13
k105_105027	279	64.16
k105_105026	1774	57.38
k105_105029	334	36.53
k105_105028	342	63.74
k105_95988	443	37.02
k105_97618	450	51.56
k105_153800	734	33.11
k105_173178	341	28.74
k105_172522	761	45.34
k105_153802	784	45.28
k105_60048	1077	44.38
k105_60049	454	51.32
k105_84805	371	58.76
k105_153803	1804	29.43
k105_117261	475	58.11
k105_151919	1669	37.45
k105_60040	362	59.12
k105_153804	322	35.71
k105_60042	752	54.12
k105_60043	739	50.34
k105_60044	309	41.75
k105_60045	387	41.60
k105_60046	412	31.07
k105_153805	341	26.39
k105_153806	521	66.41
k105_8653	228	32.02
k105_153807	326	50.31
k105_50471	514	65.95
k105_117262	1317	72.51
k105_52273	1290	54.88
k105_86550	476	40.76
k105_110149	427	66.51
k105_110145	1548	30.30
k105_110146	1371	30.93
k105_110147	1230	44.31
k105_110140	574	23.17
k105_110141	379	23.22
k105_110143	955	62.09
k105_127645	927	40.45
k105_127644	650	30.62
k105_127647	675	45.48
k105_127646	515	58.64
k105_127641	465	21.94
k105_72279	699	33.19
k105_127643	959	67.36
k105_116181	405	43.95
k105_72274	307	37.79
k105_72275	271	44.65
k105_72276	606	43.56
k105_72277	454	37.22
k105_72270	995	58.49
k105_72271	364	32.69
k105_72272	325	49.23
k105_72273	569	46.57
k105_41979	675	25.48
k105_41978	314	53.82
k105_17964	312	41.99
k105_41974	1222	65.14
k105_41977	372	30.65
k105_41976	815	54.23
k105_41971	565	59.65
k105_95690	469	50.96
k105_41972	732	45.22
k105_80200	1235	65.02
k105_80201	612	52.78
k105_80202	352	39.20
k105_80203	520	46.54
k105_80204	491	37.68
k105_80205	437	36.16
k105_80206	712	37.50
k105_80207	346	34.10
k105_80208	346	34.39
k105_80209	392	41.84
k105_102550	355	38.87
k105_102551	401	29.43
k105_102552	940	27.55
k105_102553	340	61.76
k105_102554	590	49.66
k105_102555	739	64.95
k105_102556	645	55.66
k105_102557	615	73.82
k105_102558	560	36.43
k105_102559	553	66.18
k105_151237	673	31.65
k105_90960	628	34.24
k105_147554	695	34.39
k105_152999	520	65.19
k105_152998	354	47.18
k105_152995	306	44.77
k105_152994	440	39.55
k105_152997	434	53.00
k105_152996	310	45.81
k105_152991	320	24.38
k105_152993	579	66.67
k105_152992	2198	39.81
k105_18586	748	62.17
k105_18587	1296	61.57
k105_90963	490	34.29
k105_18583	354	65.54
k105_18580	451	54.77
k105_18581	413	37.53
k105_63531	757	33.95
k105_90964	454	45.59
k105_63533	504	25.79
k105_63532	799	32.67
k105_63534	439	31.21
k105_18588	316	57.91
k105_90965	392	59.95
k105_85184	1757	53.61
k105_50861	776	34.54
k105_85186	756	55.29
k105_85187	401	56.11
k105_85180	526	42.02
k105_90966	1107	41.73
k105_85182	1491	51.71
k105_50860	1871	60.13
k105_170064	468	44.02
k105_85188	1024	69.53
k105_85189	525	65.52
k105_81463	2897	47.32
k105_17969	2081	32.68
k105_81462	426	56.81
k105_50865	366	46.45
k105_116185	420	46.43
k105_91995	703	66.15
k105_81460	445	28.99
k105_86551	575	57.22
k105_170067	403	36.72
k105_81467	1304	64.88
k105_81466	468	53.42
k105_17968	567	54.14
k105_50869	1215	34.98
k105_161916	435	34.25
k105_157019	513	54.97
k105_157018	323	39.32
k105_157017	349	56.45
k105_157015	328	41.16
k105_157014	522	43.30
k105_157013	335	41.19
k105_157012	578	53.63
k105_157011	418	48.80
k105_157010	426	51.88
k105_150158	580	51.03
k105_159896	397	52.64
k105_71165	1250	46.32
k105_149454	493	31.44
k105_149455	1453	50.79
k105_149456	543	54.70
k105_149457	431	43.39
k105_49270	668	23.95
k105_149451	667	54.27
k105_149452	747	33.60
k105_149453	348	55.75
k105_71166	626	38.02
k105_113666	372	33.87
k105_168204	417	49.16
k105_168205	391	38.11
k105_168206	1019	55.64
k105_168207	454	29.52
k105_168200	468	69.02
k105_168201	567	63.14
k105_168202	418	43.30
k105_168203	763	60.42
k105_150746	1215	60.25
k105_150747	429	40.33
k105_138048	730	56.99
k105_168208	590	28.64
k105_168209	1484	33.09
k105_150740	1841	64.42
k105_150741	402	65.92
k105_158593	334	42.22
k105_158592	331	31.72
k105_158591	475	34.74
k105_158590	361	50.69
k105_131145	950	27.89
k105_158596	412	44.42
k105_158595	594	28.45
k105_32757	524	35.11
k105_158599	484	34.71
k105_158598	705	36.88
k105_116899	2284	34.02
k105_77589	357	45.38
k105_77588	714	69.05
k105_159890	778	59.38
k105_138044	425	57.88
k105_77581	377	67.11
k105_77580	616	46.75
k105_77583	492	64.43
k105_77582	501	63.67
k105_77585	1487	65.50
k105_77584	910	38.90
k105_77587	1221	44.47
k105_77586	440	61.82
k105_84275	303	42.57
k105_84274	665	52.18
k105_131144	523	45.89
k105_102108	645	26.05
k105_84271	372	40.32
k105_171625	682	63.34
k105_44228	570	31.75
k105_44229	605	37.52
k105_44226	587	33.56
k105_44227	537	43.58
k105_44224	992	40.42
k105_44225	206	26.21
k105_44222	398	33.92
k105_44223	450	32.00
k105_44220	312	53.85
k105_142753	504	37.50
k105_142750	421	62.47
k105_142751	724	59.25
k105_142756	454	62.33
k105_142757	614	42.35
k105_142754	787	42.95
k105_142755	1048	41.60
k105_142758	1260	60.79
k105_142759	397	31.74
k105_131147	601	32.28
k105_102103	465	51.40
k105_106703	1093	32.02
k105_106702	428	43.22
k105_106705	317	50.16
k105_106704	482	51.24
k105_102102	303	60.40
k105_106709	545	38.90
k105_106708	625	57.44
k105_53988	1363	51.65
k105_102101	1078	67.63
k105_159892	413	26.63
k105_107070	371	45.55
k105_107071	362	43.92
k105_107072	607	39.87
k105_102100	1255	72.59
k105_29469	492	49.80
k105_29468	920	58.37
k105_107076	347	34.87
k105_107077	2103	62.96
k105_29465	734	62.67
k105_102107	319	52.98
k105_29467	727	53.78
k105_29466	1828	65.15
k105_29461	384	57.29
k105_29460	512	58.01
k105_29463	527	35.86
k105_102106	534	40.07
k105_81980	555	34.41
k105_167465	690	26.96
k105_81982	323	35.60
k105_81983	425	65.65
k105_81984	406	38.18
k105_48620	666	57.96
k105_78987	278	60.07
k105_167464	416	30.77
k105_81988	384	27.86
k105_81989	334	39.52
k105_48621	943	41.89
k105_169559	1487	44.52
k105_105572	320	28.12
k105_169553	374	55.88
k105_167461	416	34.13
k105_169551	1115	34.26
k105_169550	371	33.15
k105_169557	608	44.24
k105_169556	344	26.16
k105_169555	518	40.54
k105_167460	417	33.81
k105_153219	777	36.55
k105_153218	1961	38.45
k105_153215	265	26.04
k105_153214	436	42.66
k105_153217	367	36.24
k105_153216	548	37.04
k105_153211	2314	34.79
k105_153210	315	62.86
k105_153212	332	53.61
k105_110968	364	39.01
k105_110969	675	49.63
k105_110966	819	36.39
k105_110967	1701	40.21
k105_110964	297	37.04
k105_110965	346	39.02
k105_110962	767	35.98
k105_110963	310	36.77
k105_110960	511	50.10
k105_110961	433	48.96
k105_147221	391	53.96
k105_147220	392	42.35
k105_147223	512	35.94
k105_147222	377	45.89
k105_147225	468	60.47
k105_147224	489	54.40
k105_147227	349	64.18
k105_147226	1063	50.99
k105_147229	438	41.78
k105_147228	411	66.91
k105_83720	1134	65.61
k105_83721	921	59.72
k105_83726	468	63.03
k105_83727	673	34.62
k105_83724	455	53.19
k105_31496	880	60.00
k105_75983	612	32.35
k105_150150	385	29.09
k105_75981	406	55.42
k105_75987	369	36.86
k105_75986	1681	72.64
k105_75985	756	33.73
k105_50547	691	44.86
k105_136148	398	35.43
k105_75989	564	35.82
k105_75988	537	52.89
k105_86051	669	34.53
k105_165275	338	31.95
k105_78983	421	66.03
k105_165324	494	41.90
k105_165325	3382	51.09
k105_165326	364	34.62
k105_165327	419	33.65
k105_165320	599	51.25
k105_165322	383	34.46
k105_165323	1265	56.21
k105_28338	2277	34.21
k105_28339	442	59.05
k105_165328	483	44.51
k105_136638	749	37.52
k105_136639	400	49.00
